language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
de13,1,1,wikiAlign,0.733050302,0.71,0.68,0.76,0.53,0.68,1.053614951,0.43,0.95,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de14,1,1,wikiAlign,1.036448914,0.89,0.93,0.76,0.53,0.68,1.007451958,0.47,0.87,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de15,1,1,wikiAlign,1.062862911,0.8,0.75,0.76,0.53,0.68,1.093170818,0.37,0.71,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de16,1,1,wikiAlign,0.194266502,0.55,0.58,0.76,0.53,0.68,0.319052775,0.67,0.91,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de17,1,1,wikiAlign,0.965027668,0.86,0.77,0.76,0.53,0.68,1.134838557,0.41,0.92,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de18,1,1,wikiAlign,1.50091608,0.75,0.7,0.76,0.53,0.68,1.39898018,0.25,0.53,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de19,1,1,wikiAlign,0.817783937,0.58,0.55,0.76,0.53,0.68,1.130149345,0.37,0.71,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de20,1,1,wikiAlign,0.056542863,0.66,0.65,0.76,0.53,0.68,0.09429739,0.87,0.95,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de21,1,1,wikiAlign,1.313187058,0.8,0.74,0.76,0.53,0.68,1.187177505,0.33,0.61,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de22,1,1,wikiAlign,1.11052807,0.7,0.68,0.76,0.53,0.68,1.558581531,0.19,0.79,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de23,1,1,wikiAlign,0.502885631,0.72,0.7,0.76,0.53,0.68,0.660719346,0.7,0.95,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de24,1,1,wikiAlign,0.386980902,0.64,0.62,0.76,0.53,0.68,0.716937216,0.6,1.17,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de25,1,1,wikiAlign,1.042580358,0.76,0.73,0.76,0.53,0.68,1.277388618,0.31,0.81,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de26,1,1,wikiAlign,0.664088852,0.77,0.73,0.76,0.53,0.68,0.952732702,0.49,1.04,1.0596514125,0.33,0.93,-,-,-,-,-,-,-,22.18,0.36
de0,0,1,wikiAlign,1.00,0.75,0.75,1.00,0.75,0.75,1.18,0.41,0.93,1.18,0.41,0.93,-,-,-,-,-,-,-,22.18,0.36
de1,1,1,ccwp,0.273406619,0.36,0.34,0.28,0.28,0.24,0.749887442,0.57,0.95,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de2,1,1,ccwp,0.292204925,0.33,0.31,0.28,0.28,0.24,0.839939276,0.53,0.93,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de3,1,1,ccwp,0.147498327,0.23,0.23,0.28,0.28,0.24,0.90388968,0.61,1.37,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
de4,1,1,ccwp,0.486552594,0.28,0.27,0.28,0.28,0.24,1.494614518,0.27,0.7,0.9553767605000001,0.54,0.60,-,-,-,-,-,-,-,41.71,0.92
