language,source,test,model,statistic,DstatUP,DstatLO,statMedian,DstatMedUP,DstatMedLO,sizeEffect,DsizeEffectUP,DsizeEffectLO,effMedian,DeffMedUP,DeffMedLO,cFruits,cFlowers,cInsects,cInstruments,cWeapons,cPleasant,cUnpleasant,EV,GH
de6,1,1,xlmr11,0.032841316,0.08,0.08,0.03,0.07,0.08,0.351588417,0.67,0.78,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de7,1,1,xlmr11,0.027033617,0.16,0.14,0.03,0.07,0.08,0.115202359,0.54,0.64,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de10,1,1,xlmr11,-0.027729437,0.09,0.1,0.03,0.07,0.08,-0.214054248,0.66,0.65,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de11,1,1,xlmr11,-0.007283805,0.19,0.21,0.03,0.07,0.08,-0.021465101,0.59,0.6,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de12,1,1,xlmr11,0.035399736,0.21,0.19,0.03,0.07,0.08,0.103084469,0.52,0.62,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de13,1,1,xlmr11,0.017242301,0.12,0.1,0.03,0.07,0.08,0.11305715,0.54,0.62,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de14,1,1,xlmr11,-0.032503537,0.17,0.17,0.03,0.07,0.08,-0.116328351,0.54,0.65,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de15,1,1,xlmr11,-0.04865874,0.15,0.15,0.03,0.07,0.08,-0.212912932,0.61,0.7,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de16,1,1,xlmr11,0.045261093,0.12,0.09,0.03,0.07,0.08,0.317597478,0.52,0.66,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de17,1,1,xlmr11,-0.001063144,0.15,0.14,0.03,0.07,0.08,-0.004566179,0.56,0.62,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de18,1,1,xlmr11,0.037126231,0.17,0.18,0.03,0.07,0.08,0.127249835,0.57,0.61,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de19,1,1,xlmr11,0.1099613,0.25,0.22,0.03,0.07,0.08,0.272307502,0.46,0.58,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de20,1,1,xlmr11,-0.044511922,0.17,0.19,0.03,0.07,0.08,-0.146172865,0.59,0.53,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de21,1,1,xlmr11,0.091939328,0.15,0.13,0.03,0.07,0.08,0.43266115,0.49,0.61,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de22,1,1,xlmr11,0.055692741,0.13,0.11,0.03,0.07,0.08,0.27609067,0.49,0.59,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de23,1,1,xlmr11,-0.057443007,0.15,0.17,0.03,0.07,0.08,-0.216420906,0.56,0.61,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de24,1,1,xlmr11,0.025614547,0.13,0.11,0.03,0.07,0.08,0.136374492,0.52,0.65,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de25,1,1,xlmr11,0.013603161,0.11,0.11,0.03,0.07,0.08,0.082902543,0.57,0.63,0.115202359,0.31,0.33,-,-,-,-,-,-,-,-,-
de0,0,1,xlmr11,-0.04,0.13,0.18,-0.04,0.13,0.18,-0.16,0.66,0.64,-0.16,0.66,0.64,-,-,-,-,-,-,-,-,-
de1,1,1,xglm0,0.065840721,0.18,0.16,0.02,0.10,0.04,0.308293362,0.55,0.74,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de2,1,1,xglm0,0.037835644,0.14,0.14,0.02,0.10,0.04,0.212986835,0.57,0.7,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de3,1,1,xglm0,-0.008634935,0.14,0.14,0.02,0.10,0.04,-0.045203588,0.68,0.58,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de4,1,1,xglm0,0.123623356,0.15,0.13,0.02,0.10,0.04,0.616300769,0.47,0.68,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de5,1,1,xglm0,-0.02116351,0.13,0.13,0.02,0.10,0.04,-0.119906639,0.61,0.63,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de6,1,1,xglm0,0.059580457,0.12,0.11,0.02,0.10,0.04,0.492709521,0.47,0.81,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de7,1,1,xglm0,0.052846489,0.18,0.15,0.02,0.10,0.04,0.248657255,0.52,0.75,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de10,1,1,xglm0,-0.072396139,0.17,0.2,0.02,0.10,0.04,-0.290535484,0.68,0.52,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de11,1,1,xglm0,-0.003110971,0.19,0.17,0.02,0.10,0.04,-0.012664393,0.63,0.66,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de12,1,1,xglm0,0.000599479,0.17,0.16,0.02,0.10,0.04,0.00239783,0.56,0.62,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de13,1,1,xglm0,-0.021644485,0.14,0.13,0.02,0.10,0.04,-0.136542442,0.68,0.64,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de14,1,1,xglm0,0.011195105,0.19,0.17,0.02,0.10,0.04,0.043523273,0.57,0.65,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de15,1,1,xglm0,-0.003721185,0.17,0.16,0.02,0.10,0.04,-0.015398388,0.58,0.65,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de16,1,1,xglm0,0.03914497,0.13,0.12,0.02,0.10,0.04,0.263079446,0.59,0.68,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de17,1,1,xglm0,-0.024431265,0.16,0.16,0.02,0.10,0.04,-0.103550388,0.65,0.59,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de18,1,1,xglm0,0.024588189,0.17,0.18,0.02,0.10,0.04,0.09777538,0.6,0.63,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de19,1,1,xglm0,0.097021453,0.21,0.19,0.02,0.10,0.04,0.293301241,0.51,0.58,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de20,1,1,xglm0,0.035344642,0.14,0.14,0.02,0.10,0.04,0.181563133,0.57,0.65,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de21,1,1,xglm0,0.135828427,0.17,0.15,0.02,0.10,0.04,0.663373306,0.45,0.72,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de22,1,1,xglm0,0.037964783,0.16,0.15,0.02,0.10,0.04,0.172440641,0.58,0.67,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de23,1,1,xglm0,0.007299834,0.16,0.16,0.02,0.10,0.04,0.03054012,0.56,0.64,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de24,1,1,xglm0,0.023635154,0.17,0.16,0.02,0.10,0.04,0.106084257,0.62,0.7,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de25,1,1,xglm0,0.022434762,0.14,0.15,0.02,0.10,0.04,0.11069915,0.58,0.62,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de26,1,1,xglm0,0.067039079,0.16,0.16,0.02,0.10,0.04,0.356546313,0.59,0.76,0.10839170349999999,0.49,0.24,-,-,-,-,-,-,-,144.34,1.18
de0,0,1,xglm0,0.07,0.15,0.15,0.07,0.15,0.15,0.41,0.58,0.80,0.41,0.58,0.80,-,-,-,-,-,-,-,144.34,1.18
de1,1,1,xglm47,-0.005798028,0.23,0.27,0.01,0.05,0.13,-0.01541382,0.69,0.51,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de2,1,1,xglm47,0.008333579,0.17,0.22,0.01,0.05,0.13,0.034018232,0.76,0.55,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de3,1,1,xglm47,0.014473054,0.08,0.09,0.01,0.05,0.13,0.210540835,0.66,0.74,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de4,1,1,xglm47,-0.109097728,0.3,0.37,0.01,0.05,0.13,-0.208560779,0.6,0.51,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de5,1,1,xglm47,0.037485624,0.31,0.3,0.01,0.05,0.13,0.078456252,0.62,0.56,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de6,1,1,xglm47,0.022910406,0.13,0.11,0.01,0.05,0.13,0.291261298,0.5,0.75,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de7,1,1,xglm47,0.013146173,0.14,0.14,0.01,0.05,0.13,0.184329408,0.51,0.69,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de10,1,1,xglm47,0.039419792,0.21,0.17,0.01,0.05,0.13,0.446011392,0.46,1.12,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de11,1,1,xglm47,0.05757491,0.26,0.21,0.01,0.05,0.13,0.312586128,0.52,0.78,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de12,1,1,xglm47,0.009931667,0.15,0.19,0.01,0.05,0.13,0.088757526,0.76,0.66,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de13,1,1,xglm47,-0.069368258,0.16,0.21,0.01,0.05,0.13,-0.466783555,1.22,0.48,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de14,1,1,xglm47,0.04488811,0.17,0.12,0.01,0.05,0.13,0.322565522,0.45,0.76,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de15,1,1,xglm47,0.063761304,0.14,0.12,0.01,0.05,0.13,0.463840327,0.52,0.82,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de16,1,1,xglm47,-0.111803678,0.34,0.4,0.01,0.05,0.13,-0.190181646,0.59,0.5,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de17,1,1,xglm47,-0.127584637,0.22,0.35,0.01,0.05,0.13,-0.317029591,0.66,0.47,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de18,1,1,xglm47,0.054604796,0.1,0.09,0.01,0.05,0.13,0.588964846,0.38,0.83,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de19,1,1,xglm47,-0.005857007,0.2,0.24,0.01,0.05,0.13,-0.024057403,0.63,0.54,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de20,1,1,xglm47,-0.12118606,0.23,0.34,0.01,0.05,0.13,-0.288720809,0.7,0.46,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de21,1,1,xglm47,0.028930342,0.26,0.3,0.01,0.05,0.13,0.073365085,0.72,0.59,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de22,1,1,xglm47,-0.026051007,0.18,0.25,0.01,0.05,0.13,-0.113138553,0.9,0.57,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de23,1,1,xglm47,0.02993923,0.13,0.15,0.01,0.05,0.13,0.189614429,0.58,0.62,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de24,1,1,xglm47,-0.051512644,0.27,0.39,0.01,0.05,0.13,-0.126434294,0.75,0.58,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de25,1,1,xglm47,0.057510262,0.24,0.17,0.01,0.05,0.13,0.242122985,0.49,0.68,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de26,1,1,xglm47,0.056575296,0.33,0.3,0.01,0.05,0.13,0.123541321,0.57,0.56,0.083606889,0.38,0.40,-,-,-,-,-,-,-,-,-
de0,0,1,xglm47,-0.09,0.21,0.35,-0.09,0.21,0.35,-0.28,0.82,0.48,-0.28,0.82,0.48,-,-,-,-,-,-,-,-,-
de1,1,2,wiki,0.757075722,0.72,0.68,1.08,0.76,0.65,1.307984459,0.36,1.22,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de2,1,2,wiki,0.165015656,0.71,0.62,1.08,0.76,0.65,0.358825522,0.95,1.21,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de3,1,2,wiki,1.072702574,0.5,0.48,1.08,0.76,0.65,1.59266109,0.18,0.57,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de4,1,2,wiki,2.139607491,0.98,0.86,1.08,0.76,0.65,1.34837601,0.14,0.39,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de5,1,2,wiki,0.961094222,0.72,0.73,1.08,0.76,0.65,1.41068239,0.3,0.96,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de6,1,2,wiki,0.59511113,0.59,0.55,1.08,0.76,0.65,1.258153821,0.38,1.22,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de7,1,2,wiki,0.733936629,0.55,0.51,1.08,0.76,0.65,1.411607988,0.31,0.85,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de10,1,2,wiki,1.853645892,0.81,0.73,1.08,0.76,0.65,1.795174128,0.09,0.38,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de11,1,2,wiki,1.554937344,0.86,0.72,1.08,0.76,0.65,1.586931329,0.22,0.51,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de12,1,2,wiki,1.223246939,0.9,0.82,1.08,0.76,0.65,1.255297185,0.39,0.73,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de13,1,2,wiki,1.303584804,0.71,0.72,1.08,0.76,0.65,1.648295286,0.17,0.61,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de14,1,2,wiki,1.093982226,0.8,0.7,1.08,0.76,0.65,1.443654078,0.33,0.78,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de15,1,2,wiki,1.291006817,0.97,0.87,1.08,0.76,0.65,1.372838709,0.35,0.79,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de16,1,2,wiki,0.399749008,0.58,0.57,1.08,0.76,0.65,0.678713682,0.73,0.97,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de17,1,2,wiki,1.562249309,1.01,0.87,1.08,0.76,0.65,1.696075533,0.16,0.57,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de18,1,2,wiki,1.425621889,0.84,0.74,1.08,0.76,0.65,1.601551121,0.2,0.61,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de19,1,2,wiki,0.761408872,0.61,0.59,1.08,0.76,0.65,1.19728567,0.42,0.91,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de20,1,2,wiki,1.757687171,1.24,1.06,1.08,0.76,0.65,1.056528563,0.13,0.71,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de21,1,2,wiki,1.66860015,0.87,0.76,1.08,0.76,0.65,1.706318922,0.12,0.42,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de22,1,2,wiki,1.198027301,0.81,0.77,1.08,0.76,0.65,1.466281005,0.29,0.82,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de23,1,2,wiki,1.07045601,0.75,0.65,1.08,0.76,0.65,1.561557789,0.23,0.81,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de24,1,2,wiki,0.587163647,0.65,0.65,1.08,0.76,0.65,1.020756089,0.56,1.15,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de25,1,2,wiki,0.745859454,0.89,0.81,1.08,0.76,0.65,1.212275424,0.48,1.31,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de26,1,2,wiki,0.864689275,0.54,0.5,1.08,0.76,0.65,1.3395531,0.37,0.78,1.3917605495,0.31,0.66,-,-,-,-,-,-,-,12.04,0.31
de0,0,2,wiki,1.14,0.75,0.76,1.14,0.75,0.76,1.24,0.41,0.71,1.24,0.41,0.71,-,-,-,-,-,-,-,12.04,0.31
de1,1,2,wikiAlign,0.805453329,0.8,0.76,1.165,0.74,0.75,1.247812031,0.41,1.22,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de2,1,2,wikiAlign,0.264894355,0.8,0.73,1.165,0.74,0.75,0.526739997,0.86,1.34,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de3,1,2,wikiAlign,1.326705913,0.58,0.58,1.165,0.74,0.75,1.575117868,0.2,0.52,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de4,1,2,wikiAlign,1.995154919,1.04,0.94,1.165,0.74,0.75,1.07904753,0.21,0.54,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de5,1,2,wikiAlign,1.195986831,0.83,0.84,1.165,0.74,0.75,1.400059465,0.31,0.85,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de6,1,2,wikiAlign,0.405486362,0.69,0.66,1.165,0.74,0.75,0.953174515,0.6,1.54,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de7,1,2,wikiAlign,0.51925444,0.55,0.52,1.165,0.74,0.75,1.151163005,0.46,1.11,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de10,1,2,wikiAlign,1.925156692,0.96,0.86,1.165,0.74,0.75,1.749828871,0.14,0.47,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de11,1,2,wikiAlign,1.760274556,0.98,0.88,1.165,0.74,0.75,1.618048541,0.19,0.54,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de12,1,2,wikiAlign,1.235410644,0.94,0.86,1.165,0.74,0.75,1.132804094,0.42,0.72,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de13,1,2,wikiAlign,1.087328285,0.76,0.75,1.165,0.74,0.75,1.395148115,0.3,0.81,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de14,1,2,wikiAlign,0.979548136,0.88,0.79,1.165,0.74,0.75,1.290644382,0.46,1.0,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de15,1,2,wikiAlign,1.366593066,0.98,0.86,1.165,0.74,0.75,1.381220114,0.32,0.72,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de16,1,2,wikiAlign,0.454997112,0.7,0.67,1.165,0.74,0.75,0.685940539,0.76,1.01,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de17,1,2,wikiAlign,1.580488562,0.98,0.89,1.165,0.74,0.75,1.676730362,0.16,0.6,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de18,1,2,wikiAlign,1.549679878,1.01,0.94,1.165,0.74,0.75,1.506084659,0.25,0.7,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de19,1,2,wikiAlign,0.878556743,0.69,0.66,1.165,0.74,0.75,1.105431319,0.48,0.81,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de20,1,2,wikiAlign,1.649378467,1.24,1.1,1.165,0.74,0.75,1.747561306,0.15,0.84,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de21,1,2,wikiAlign,1.770491973,0.98,0.9,1.165,0.74,0.75,1.649321108,0.16,0.51,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de22,1,2,wikiAlign,1.33771774,0.85,0.84,1.165,0.74,0.75,1.487573729,0.28,0.78,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de23,1,2,wikiAlign,1.12580965,0.87,0.79,1.165,0.74,0.75,1.43124369,0.31,0.89,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de24,1,2,wikiAlign,0.476795103,0.68,0.7,1.165,0.74,0.75,0.78614744,0.66,1.11,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de25,1,2,wikiAlign,0.857338585,0.88,0.8,1.165,0.74,0.75,1.22261058,0.44,1.11,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de26,1,2,wikiAlign,0.747132871,0.62,0.58,1.165,0.74,0.75,1.125403954,0.48,0.88,1.335932248,0.40,0.63,-,-,-,-,-,-,-,22.18,0.36
de0,0,2,wikiAlign,0.93,0.81,0.80,0.93,0.81,0.80,1.08,0.53,0.88,1.08,0.53,0.88,-,-,-,-,-,-,-,22.18,0.36
de1,1,2,ccwp,0.593769196,0.44,0.42,0.375,0.51,0.15,1.321077974,0.29,0.89,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de2,1,2,ccwp,0.412360687,0.57,0.53,0.375,0.51,0.15,0.797661401,0.63,1.01,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de3,1,2,ccwp,0.31772257,0.3,0.32,0.375,0.51,0.15,1.044118431,0.52,1.08,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de4,1,2,ccwp,0.899207302,0.42,0.41,0.375,0.51,0.15,1.727862876,0.16,0.51,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de5,1,2,ccwp,0.291901462,0.46,0.46,0.375,0.51,0.15,0.784726718,0.62,1.24,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de6,1,2,ccwp,0.172709806,0.37,0.37,0.375,0.51,0.15,0.668245873,0.64,1.34,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de7,1,2,ccwp,0.240263938,0.25,0.24,0.375,0.51,0.15,1.427661631,0.43,1.47,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de10,1,2,ccwp,0.40249715,0.46,0.44,0.375,0.51,0.15,1.166632279,0.48,1.25,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de11,1,2,ccwp,0.287851791,0.51,0.47,0.375,0.51,0.15,0.629635527,0.73,1.07,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de12,1,2,ccwp,0.420655471,0.49,0.47,0.375,0.51,0.15,0.997709952,0.52,1.15,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de13,1,2,ccwp,0.222265291,0.36,0.35,0.375,0.51,0.15,1.005639319,0.62,1.57,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de14,1,2,ccwp,0.349125356,0.35,0.38,0.375,0.51,0.15,1.021157637,0.55,1.16,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de15,1,2,ccwp,0.789202543,0.58,0.52,0.375,0.51,0.15,1.378644793,0.35,0.8,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de16,1,2,ccwp,0.334891517,0.34,0.34,0.375,0.51,0.15,1.208165131,0.5,1.27,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de17,1,2,ccwp,1.169800367,0.72,0.66,0.375,0.51,0.15,1.563696654,0.24,0.64,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de18,1,2,ccwp,0.524378601,0.53,0.52,0.375,0.51,0.15,1.124139437,0.43,1.06,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de19,1,2,ccwp,0.302859644,0.37,0.38,0.375,0.51,0.15,0.872095212,0.6,1.04,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de20,1,2,ccwp,0.696481068,0.52,0.49,0.375,0.51,0.15,1.546592193,0.25,0.97,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de21,1,2,ccwp,0.789564474,0.46,0.46,0.375,0.51,0.15,1.390997139,0.3,0.67,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de22,1,2,ccwp,0.558995699,0.43,0.41,0.375,0.51,0.15,1.444548682,0.3,1.01,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de23,1,2,ccwp,0.295897563,0.52,0.46,0.375,0.51,0.15,0.73728703,0.67,1.13,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de24,1,2,ccwp,0.340159463,0.4,0.39,0.375,0.51,0.15,1.118806057,0.51,1.29,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de25,1,2,ccwp,0.301960919,0.58,0.58,0.375,0.51,0.15,0.681835156,0.79,1.23,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de26,1,2,ccwp,0.439497917,0.31,0.3,0.375,0.51,0.15,1.318078021,0.32,0.81,1.1214727469999999,0.44,0.45,-,-,-,-,-,-,-,41.71,0.92
de0,0,2,ccwp,0.65,0.54,0.48,0.65,0.54,0.48,1.28,0.35,0.92,1.28,0.35,0.92,-,-,-,-,-,-,-,41.71,0.92
de1,1,2,cc10017,0.961028915,0.61,0.55,1.1400000000000001,0.63,0.41,1.177991364,0.35,0.66,1.1915212254999998,0.35,0.26,61304,38051,47336,113959,105031,3136787,1162635,26.21,0.79
de2,1,2,cc10017,0.715895484,0.62,0.59,1.1400000000000001,0.63,0.41,0.835106935,0.46,0.68,1.1915212254999998,0.35,0.26,55725,31342,32237,85403,163776,2318771,1020394,26.21,0.79
de3,1,2,cc10017,0.941324988,0.56,0.6,1.1400000000000001,0.63,0.41,1.000399048,0.45,0.62,1.1915212254999998,0.35,0.26,58032,30125,38303,118878,120301,3780339,1278407,26.21,0.79
de4,1,2,cc10017,2.150376839,0.97,0.83,1.1400000000000001,0.63,0.41,1.013985027,0.26,0.4,1.1915212254999998,0.35,0.26,55069,38132,23984,97110,67632,2653330,665858,26.21,0.79
de5,1,2,cc10017,1.357893702,0.67,0.63,1.1400000000000001,0.63,0.41,1.295346995,0.24,0.47,1.1915212254999998,0.35,0.26,54907,33735,28533,79184,119029,2772311,1334627,26.21,0.79
de6,1,2,cc10017,0.899736194,0.53,0.46,1.1400000000000001,0.63,0.41,1.405041617,0.2,0.64,1.1915212254999998,0.35,0.26,81303,29208,43867,118477,201174,1421304,2723164,26.21,0.79
de7,1,2,cc10017,0.715939874,0.56,0.48,1.1400000000000001,0.63,0.41,1.12867862,0.38,0.69,1.1915212254999998,0.35,0.26,64443,46678,32462,96492,7268,3611016,6658628,26.21,0.79
de10,1,2,cc10017,1.374203949,0.82,0.78,1.1400000000000001,0.63,0.41,1.255927118,0.32,0.66,1.1915212254999998,0.35,0.26,48468,27958,27581,73403,49645,775307,476402,26.21,0.79
de11,1,2,cc10017,1.163604825,0.81,0.68,1.1400000000000001,0.63,0.41,1.04347341,0.38,0.53,1.1915212254999998,0.35,0.26,50777,33660,11305,99932,307355,2966813,193588,26.21,0.79
de12,1,2,cc10017,1.704493089,0.81,0.73,1.1400000000000001,0.63,0.41,1.389807236,0.24,0.45,1.1915212254999998,0.35,0.26,58353,36498,32061,85614,122914,4842805,1047613,26.21,0.79
